Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
            0, -0.000807146134321,            55,           -10,             0, 11446.9130859, 11446.9130859, 2244.49267578
        0.001, -0.000231326717767,  55.000415802, -9.98472213745,             0, 11445.9638672, 11445.9638672, 2244.00097656
        0.002, -0.000452865788247, 55.0000953674, -9.9694442749,             0, 11446.2685547, 11446.2685547, 2243.67871094
        0.003, -0.0006567601813, 54.9993057251, -9.95416736603,             0, 11446.2519531, 11446.2519531, 2243.46020508
        0.004, -0.00189655506983,  54.998046875, -9.93888950348,             0, 11446.2314453, 11446.2314453, 2243.29907227
        0.005, -0.0041351816617, 54.9961624146, -9.92361354828,             0, 11446.2089844, 11446.2089844, 2243.16870117
        0.006, -0.00190388516057, 54.9940032959, -9.90833759308,             0, 11446.1845703, 11446.1845703, 2243.06347656
        0.007, -0.00138514116406, 54.9917831421, -9.89306259155,             0, 11446.1591797, 11446.1591797, 2242.97509766
        0.008, -0.00138639239594, 54.9895515442, -9.8777885437,             0, 11446.1328125, 11446.1328125, 2242.89892578
        0.009, -0.00140370801091, 54.9873161316, -9.86251449585,             0, 11446.1044922, 11446.1044922, 2242.83105469
         0.01, -0.0014218603028, 54.9850769043, -9.84724235535,             0, 11446.0761719, 11446.0761719, 2242.76928711
        0.011, -0.00144051201642, 54.9828453064, -9.83197021484,             0,  11446.046875,  11446.046875, 2242.71166992
        0.012, -0.00145972077735, 54.9806213379, -9.81669902802,             0, 11446.0175781, 11446.0175781, 2242.65649414
        0.013, -0.00147955131251, 54.9784088135, -9.80142784119,             0, 11445.9863281, 11445.9863281, 2242.60302734
        0.014, -0.00150006590411, 54.9762115479, -9.78615856171,             0, 11445.9550781, 11445.9550781, 2242.55029297
        0.015, -0.00152024254203, 54.9740257263, -9.77088928223,             0,  11445.921875,  11445.921875, 2242.49804688
        0.016, -0.00154239905532, 54.9718551636, -9.75562000275,             0, 11445.8886719, 11445.8886719, 2242.44580078
        0.017, -0.00156542262994, 54.9697036743, -9.74035263062,             0, 11445.8544922, 11445.8544922, 2242.39331055
        0.018, -0.00158937438391, 54.9675674438, -9.72508525848,             0, 11445.8203125, 11445.8203125, 2242.34057617
        0.019, -0.00161430588923, 54.9654502869, -9.70981884003,             0, 11445.7841797, 11445.7841797, 2242.28759766
         0.02, -0.00164026592392, 54.9633483887, -9.69455242157,             0, 11445.7470703, 11445.7470703, 2242.23413086
        0.021, -0.00166729965713, 54.9612617493, -9.67928791046,             0, 11445.7089844, 11445.7089844, 2242.18041992
        0.022, -0.00169544899836,  54.959197998, -9.66402339935,             0, 11445.6689453, 11445.6689453, 2242.12646484
        0.023, -0.00172475213185, 54.9571456909, -9.64875888824,             0, 11445.6289062, 11445.6289062, 2242.07250977
        0.024, -0.00175524363294, 54.9551124573, -9.63349533081,             0, 11445.5869141, 11445.5869141, 2242.01831055
        0.025, -0.00178695388604, 54.9530982971, -9.61823272705,             0, 11445.5449219, 11445.5449219, 2241.96435547
        0.026, -0.00182016694453, 54.9510955811, -9.60297107697,             0,       11445.5,       11445.5, 2241.91064453
        0.027, -0.001856944873, 54.9491119385, -9.58770942688,             0, 11445.4550781, 11445.4550781, 2241.85717773
        0.028, -0.0018975045532, 54.9471435547, -9.57244873047,             0, 11445.4082031, 11445.4082031, 2241.80419922
        0.029, -0.00194170989562, 54.9451904297, -9.55718803406,             0, 11445.3603516, 11445.3603516, 2241.75195312
         0.03, -0.00198948127218, 54.9432525635, -9.54192829132,             0, 11445.3115234, 11445.3115234, 2241.70043945
        0.031, -0.00204073265195, 54.9413299561, -9.52666950226,             0, 11445.2607422, 11445.2607422,  2241.6496582
        0.032, -0.00209537497722, 54.9394226074, -9.5114107132,             0, 11445.2089844, 11445.2089844, 2241.59960938
        0.033, -0.00215331511572, 54.9375267029, -9.49615287781,             0, 11445.1552734, 11445.1552734, 2241.55078125
        0.034, -0.00221445853822, 54.9356460571, -9.48089504242,             0, 11445.1005859, 11445.1005859, 2241.50292969
        0.035, -0.00227870955132, 54.9337806702, -9.46563816071,             0, 11445.0439453, 11445.0439453, 2241.45605469
        0.036, -0.00234597129747, 54.9319267273, -9.45038223267,             0, 11444.9873047, 11444.9873047, 2241.41064453
        0.037, -0.00241614691913, 54.9300880432, -9.43512630463,             0, 11444.9277344, 11444.9277344, 2241.36645508
        0.038, -0.00248914002441, 54.9282608032, -9.41987037659,             0, 11444.8681641, 11444.8681641, 2241.32348633
        0.039, -0.00256485468708,  54.926448822, -9.4046163559,             0, 11444.8066406, 11444.8066406, 2241.28198242
         0.04, -0.00264319661073, 54.9246482849, -9.38936233521,             0, 11444.7431641, 11444.7431641, 2241.24169922
        0.041, -0.00272407243028, 54.9228591919, -9.37410831451,             0, 11444.6787109, 11444.6787109, 2241.20288086
        0.042, -0.00280739087611,  54.921081543, -9.3588552475,             0, 11444.6132812, 11444.6132812, 2241.16552734
        0.043, -0.00289306254126, 54.9193191528, -9.34360313416,             0,  11444.546875,  11444.546875, 2241.12939453
        0.044, -0.00298100104555, 54.9175682068, -9.32835102081,             0, 11444.4785156, 11444.4785156, 2241.09472656
        0.045, -0.0030711221043, 54.9158248901, -9.31309986115,             0, 11444.4091797, 11444.4091797, 2241.06152344
        0.046, -0.00316334469244, 54.9140968323, -9.29784870148,             0, 11444.3388672, 11444.3388672, 2241.02954102
        0.047, -0.00325759057887, 54.9123840332, -9.28259754181,             0, 11444.2666016, 11444.2666016, 2240.99902344
        0.048, -0.00335378455929, 54.9106788635, -9.26734828949,             0, 11444.1933594, 11444.1933594, 2240.96972656
        0.049, -0.00345185515471, 54.9089851379, -9.25209903717,             0, 11444.1191406, 11444.1191406, 2240.94189453
