TIME,RPM,TPS,Marcha,Distância,Velocidade_de_referência
0.020,5480,4.1,0,0.00,0.0
0.060,5749,1.1,0,0.00,0.0
0.100,5525,0.9,0,0.00,0.0
0.140,5267,0.9,0,0.00,0.0
0.180,4916,0.9,0,0.00,0.0
0.220,4704,0.9,0,0.00,0.0
0.260,4429,0.9,0,0.00,0.0
0.300,4128,0.8,0,0.00,0.0
0.340,3939,0.8,0,0.00,0.0
0.380,3774,0.7,0,0.00,0.0
0.420,3501,0.8,0,0.00,0.0
0.460,3358,0.8,0,0.00,0.0
0.500,3111,0.8,0,0.00,0.0
0.540,2860,0.8,0,0.00,0.0
0.580,2687,0.8,0,0.00,0.0
0.620,2637,0.8,0,0.00,0.0
0.660,2746,0.8,0,0.00,0.0
0.700,2684,0.8,0,0.00,0.0
0.740,2715,0.7,0,0.00,0.0
0.780,2866,0.8,0,0.00,0.0
0.820,3006,0.7,0,0.00,0.0
0.860,3054,0.8,0,0.00,0.0
0.900,3084,0.8,0,0.00,0.0
0.940,3037,0.8,0,0.00,0.0
0.980,3016,0.8,0,0.00,0.0
1.020,3175,0.7,0,0.00,0.0
1.060,3195,0.8,0,0.00,0.0
1.100,3196,0.8,0,0.00,0.0
1.140,3208,0.8,0,0.00,0.0
1.180,3306,0.8,0,0.00,0.0
1.220,3457,0.8,0,0.00,0.0
1.260,3498,0.8,0,0.00,0.0
1.300,3488,0.8,0,0.00,0.0
1.340,3813,0.7,0,0.00,0.0
1.380,3986,0.7,0,0.00,0.0
1.420,4036,0.7,0,0.00,0.0
1.460,3993,0.7,0,0.00,0.0
1.500,3962,0.7,0,0.00,0.0
1.540,3820,0.7,0,0.00,0.0
1.580,3727,0.7,0,0.00,0.0
1.620,3588,0.7,0,0.00,0.0
1.660,3395,0.7,0,0.00,0.0
1.700,3158,0.7,0,0.00,0.0
1.740,3005,0.7,0,0.00,0.0
1.780,2799,0.7,0,0.00,0.0
1.820,2775,0.7,0,0.00,0.0
1.860,2860,0.7,0,0.00,0.0
1.900,2925,0.7,0,0.00,0.0
1.940,3077,0.7,0,0.00,0.0
1.980,3093,0.7,0,0.00,0.0
2.020,2993,0.7,0,0.00,0.0
2.060,3032,0.7,0,0.00,0.0
2.100,3063,0.7,0,0.00,0.0
2.140,2920,0.7,0,0.00,0.0
2.180,3127,0.7,0,0.00,0.0
2.220,3126,0.7,0,0.00,0.0
2.260,3073,0.7,0,0.00,0.0
2.300,3226,0.7,0,0.00,0.0
2.340,3250,0.8,0,0.00,0.0
2.380,3176,0.7,0,0.00,0.0
2.420,3264,0.7,0,0.00,0.0
2.460,3381,0.8,0,0.00,0.0
2.500,3542,0.7,0,0.00,0.0
2.540,3666,0.7,0,0.00,0.0
2.580,3894,0.7,0,0.00,0.0
2.620,4008,0.7,0,0.00,0.0
2.660,3953,0.7,0,0.00,0.0
2.700,3866,0.7,0,0.00,0.0
2.740,3837,0.7,0,0.00,0.0
2.780,3579,0.7,0,0.00,0.0
2.820,3388,0.7,0,0.00,0.0
2.860,3213,0.7,0,0.00,0.0
2.900,3085,0.6,0,0.00,0.0
2.940,2838,0.6,0,0.00,0.0
2.980,2759,0.6,0,0.00,0.0
3.020,2818,0.6,0,0.00,0.0
3.060,2883,0.7,0,0.00,0.0
3.100,2976,0.7,0,0.00,0.0
3.140,3118,0.7,0,0.00,0.0
3.180,3059,0.6,0,0.00,0.0
3.220,2984,0.7,0,0.00,0.0
3.260,3227,0.6,0,0.00,0.0
3.300,3254,0.7,0,0.00,0.0
3.340,3251,0.7,0,0.00,0.0
3.380,3222,0.7,0,0.00,0.0
3.420,3308,0.7,0,0.00,0.0
3.460,3363,0.7,0,0.00,0.0
3.500,3502,0.6,0,0.00,0.0
3.540,3417,0.7,0,0.00,0.0
3.580,3591,0.6,0,0.00,0.0
3.620,3569,0.7,0,0.00,0.0
3.660,3633,0.7,0,0.00,0.0
3.700,3731,0.7,0,0.00,0.0
3.740,3712,0.7,0,0.00,0.0
3.780,3672,0.7,0,0.00,0.0
3.820,3600,0.7,0,0.00,0.0
3.860,3507,0.7,0,0.00,0.0
3.900,3386,0.7,0,0.00,0.0
3.940,3277,0.7,0,0.00,0.0
3.980,3166,0.7,0,0.00,0.0
4.020,2986,0.7,0,0.00,0.0
4.060,2954,0.7,0,0.00,0.0
4.100,3016,0.6,0,0.00,0.0
4.140,3067,0.7,0,0.00,0.0
4.180,3032,0.7,0,0.00,0.0
4.220,3000,0.6,0,0.00,0.0
4.260,3132,0.7,0,0.00,0.0
4.300,3036,0.7,0,0.00,0.0
4.340,3221,0.6,0,0.00,0.0
4.380,3355,0.7,0,0.00,0.0
4.420,3419,0.7,0,0.00,0.0
4.460,3425,0.7,0,0.00,0.0
4.500,3453,0.6,0,0.00,0.0
4.540,3520,0.7,0,0.00,0.0
4.580,3541,0.7,0,0.00,0.0
4.620,3665,0.7,0,0.00,0.0
4.660,3773,0.7,0,0.00,0.0
4.700,3746,0.7,0,0.00,0.0
4.740,3682,0.7,0,0.00,0.0
4.780,3580,0.7,0,0.00,0.0
4.820,3371,0.7,0,0.00,0.0
4.860,3324,0.7,0,0.00,0.0
4.900,3269,0.6,0,0.00,0.0
4.940,3125,0.7,0,0.00,0.0
4.980,2979,0.6,0,0.00,0.0
5.020,3085,0.6,0,0.00,0.0
5.060,3048,0.6,0,0.00,0.0
5.100,3085,0.6,0,0.00,0.0
5.140,3251,0.6,0,0.00,0.0
5.180,3293,0.7,0,0.00,0.0
5.220,3293,0.7,0,0.00,0.0
5.260,3368,0.7,0,0.00,0.0
5.300,3402,0.7,0,0.00,0.0
5.340,3436,0.6,0,0.00,0.0
5.380,3428,0.7,0,0.00,0.0
5.420,3504,0.7,0,0.00,0.0
5.460,3486,0.7,0,0.00,0.0
5.500,3645,0.7,0,0.00,0.0
5.540,3685,0.7,0,0.00,0.0
5.580,3806,0.7,0,0.00,0.0
5.620,3814,0.7,0,0.00,0.0
5.660,3752,0.7,0,0.00,0.0
5.700,3496,0.6,0,0.00,0.0
5.740,3309,0.7,0,0.00,0.0
5.780,3212,0.7,0,0.00,0.0
5.820,3067,0.7,0,0.00,0.0
5.860,2957,0.6,0,0.00,0.0
5.900,2977,0.7,0,0.00,0.0
5.940,2948,0.7,0,0.00,0.0
5.980,2773,0.7,0,0.00,0.0
6.020,2818,0.7,0,0.00,0.0
6.060,2962,0.7,0,0.00,0.0
6.100,3127,0.7,0,0.00,0.0
6.140,3185,0.6,0,0.00,0.0
6.180,3158,0.7,0,0.00,0.0
6.220,3303,0.6,0,0.00,0.0
6.260,3362,0.7,0,0.00,0.0
6.300,3426,0.7,0,0.00,0.0
6.340,3446,0.7,0,0.00,0.0
6.380,3445,0.6,0,0.00,0.0
6.420,3456,0.7,0,0.00,0.0
6.460,3421,0.7,0,0.00,0.0
6.500,3431,0.7,0,0.00,0.0
6.540,3382,0.7,0,0.00,0.0
6.580,3391,0.7,0,0.00,0.0
6.620,3313,0.7,0,0.00,0.0
6.660,3432,0.7,0,0.00,0.0
6.700,3421,0.7,0,0.00,0.0
6.740,3414,0.7,0,0.00,0.0
6.780,3387,0.7,0,0.00,0.0
6.820,3451,0.6,0,0.00,0.0
6.860,3385,0.6,0,0.00,0.0
6.900,3565,0.7,0,0.00,0.0
6.940,3616,0.7,0,0.00,0.0
6.980,3753,0.7,0,0.00,0.0
7.020,3853,0.6,0,0.00,0.0
7.060,3857,0.6,0,0.00,0.0
7.100,3840,0.7,0,0.00,0.0
7.140,3732,0.6,0,0.00,0.0
7.180,3649,0.6,0,0.00,0.0
7.220,3516,0.6,0,0.00,0.0
7.260,3336,0.6,0,0.00,0.0
7.300,3139,0.7,0,0.00,0.0
7.340,2984,0.7,0,0.00,0.0
7.380,2927,0.6,0,0.00,0.0
7.420,2814,0.6,0,0.00,0.0
7.460,2735,0.6,0,0.00,0.0
7.500,2873,0.7,0,0.00,0.0
7.540,2899,0.6,0,0.00,0.0
7.580,2956,0.7,0,0.00,0.0
7.620,3149,0.6,0,0.00,0.0
7.660,3132,0.6,0,0.00,0.0
7.700,3114,0.6,0,0.00,0.0
7.740,3254,0.6,0,0.00,0.0
7.780,3110,0.7,0,0.00,0.0
7.820,3121,0.6,0,0.00,0.0
7.860,3315,0.6,0,0.00,0.0
7.900,3460,0.7,0,0.00,0.0
7.940,3360,0.7,0,0.00,0.0
7.980,3485,0.7,0,0.00,0.0
8.020,3568,0.6,0,0.00,0.0
8.060,3619,0.7,0,0.00,0.0
8.100,3639,0.7,0,0.00,0.0
8.140,3770,0.7,0,0.00,0.0
8.180,3862,0.7,0,0.00,0.0
8.220,3756,0.7,0,0.00,0.0
8.260,3653,0.7,0,0.00,0.0
8.300,3481,0.7,0,0.00,0.0
8.340,3316,0.6,0,0.00,0.0
8.380,3131,0.7,0,0.00,0.0
8.420,2934,0.7,0,0.00,0.0
8.460,2857,0.7,0,0.00,0.0
8.500,2745,0.7,0,0.00,0.0
8.540,2803,0.7,0,0.00,0.0
8.580,2907,0.8,0,0.00,0.0
8.620,3071,0.9,0,0.00,0.0
8.660,3293,0.9,0,0.00,0.0
8.700,3357,1.1,0,0.00,0.0
8.740,3339,1.0,0,0.00,0.0
8.780,3212,1.1,0,0.00,0.0
8.820,3200,1.1,0,0.00,0.0
